PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,3:00 PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,+/-
Devonte' Graham,SAS,28,73,31,42,1338.4,539,161,431,119,338,98,131,19,103,122,196,53,45,16,-159
Josh Okogie,PHX,24,72,38,34,1350.6,529,162,414,66,197,139,192,109,142,251,105,63,56,34,106
Jalen Suggs,ORL,22,53,20,33,1245.9,524,186,444,66,202,86,119,55,106,161,155,94,67,27,-40
Hamidou Diallo,DET,24,56,12,44,995.9,522,215,375,5,21,87,148,57,137,194,55,71,53,16,-16
Terrence Ross,PHX,32,63,27,36,1330.5,522,200,465,95,258,27,34,22,132,154,95,43,35,10,-76
Tre Mann,OKC,22,67,31,36,1183.4,517,197,501,81,257,42,55,27,128,155,120,62,40,11,57
Kendrick Nunn,WAS,27,70,30,40,963.4,496,191,450,79,223,35,41,15,94,109,90,66,28,7,-54
Cameron Payne,PHX,28,48,27,21,968.3,493,188,453,68,185,49,64,12,94,106,214,81,33,8,77
Isaac Okoro,CLE,22,76,48,28,1652.6,490,175,354,62,171,78,103,52,135,187,87,42,56,30,126
Aaron Wiggins,OKC,24,70,37,33,1297.4,479,186,363,48,122,59,71,68,143,211,80,56,39,15,9
Nicolas Batum,LAC,34,78,44,34,1709.6,478,160,381,124,317,34,48,62,237,299,121,50,54,44,165
Dennis Smith Jr.,CHA,25,54,19,35,1389.8,474,186,452,24,111,78,106,27,140,167,261,82,75,25,-70
Ochai Agbaji,UTA,23,59,29,30,1209.2,467,165,386,81,228,56,69,43,78,121,67,41,16,15,-19
Pat Connaughton,MIL,30,61,43,18,1442.7,466,165,421,109,322,27,41,50,233,283,77,33,37,11,134
Davion Mitchell,SAC,24,80,47,33,1447,450,181,399,63,197,25,31,16,89,105,185,62,44,15,1
Victor Oladipo,MIA,31,42,23,19,1105.6,449,160,403,70,212,59,79,16,112,128,146,87,57,12,-35
Terence Davis,SAC,26,64,38,26,841,431,154,364,89,243,34,43,20,119,139,67,53,43,12,47
Cory Joseph,DET,31,62,12,50,1227.4,427,150,351,70,180,57,72,21,85,106,217,56,34,9,-110
Kenrich Williams,OKC,28,53,26,27,1206,425,179,346,50,134,17,39,97,164,261,105,32,45,14,75
Jaden Hardy,DAL,20,48,20,28,708.4,420,146,333,63,156,65,79,11,78,89,65,46,17,7,-32
Patrick Beverley,CHI,34,67,34,33,1816.5,415,144,360,80,239,47,65,44,203,247,194,60,63,41,-80
Jordan Goodwin,WAS,24,62,22,40,1105.4,407,158,353,38,118,53,69,57,148,205,168,57,58,26,-117
Oshae Brissett,IND,25,65,27,38,1083.2,398,123,319,48,155,104,145,62,156,218,44,34,33,13,22
Gary Harris,ORL,28,48,22,26,1184.4,397,138,307,94,218,27,30,21,77,98,59,28,45,12,-84
Cam Reddish,POR,23,40,14,26,989.6,387,139,312,45,144,64,75,18,70,88,57,47,39,14,-193
John Wall,LAC,32,34,15,19,754.7,386,138,339,33,109,77,113,14,78,92,178,80,27,12,-106
Will Barton,TOR,32,56,27,29,993,379,138,364,66,180,37,47,15,122,137,112,48,28,13,-168
Edmond Sumner,BKN,27,53,33,20,736.2,378,124,269,31,87,99,108,13,66,79,68,50,31,10,25
Alex Caruso,CHI,29,67,33,34,1575.4,374,130,286,55,151,59,73,42,154,196,193,77,98,46,199
Josh Christopher,HOU,21,64,16,48,786.2,372,153,329,21,89,45,60,20,51,71,73,60,33,15,-225
Delon Wright,WAS,31,50,26,24,1221.2,369,138,291,41,119,52,60,58,122,180,194,44,92,17,69
Goran Dragic,MIL,37,58,27,31,870,365,141,335,52,145,31,45,16,65,81,151,63,13,4,5
John Konchar,MEM,27,72,45,27,1493.8,364,138,320,60,177,28,36,64,246,310,100,37,77,25,209
Nickeil Alexander-Walker,MIN,24,59,29,30,883.9,363,131,295,61,159,40,60,15,86,101,108,55,32,21,-51
Chris Duarte,IND,26,46,19,27,897.2,362,123,333,55,174,61,72,19,96,115,64,41,25,9,-114
Christian Braun,DEN,22,76,49,27,1181.1,360,143,289,34,96,40,64,48,133,181,59,35,41,17,-114
Nassir Little,POR,23,54,22,32,976.1,359,134,303,58,158,33,46,27,114,141,50,36,20,20,-190
